name,title,url,alternate_url,high_res_url,high_res_width,high_res_height,run_date_array,query,share_text,translations.en.query,translations.en.hover_text,translations.en.share_text,translations.af.query,translations.af.hover_text,translations.af.share_text,translations.sq.query,translations.sq.hover_text,translations.sq.share_text,translations.am.query,translations.am.hover_text,translations.am.share_text,translations.ar.query,translations.ar.hover_text,translations.ar.share_text,translations.hy.query,translations.hy.hover_text,translations.hy.share_text,translations.az.query,translations.az.hover_text,translations.az.share_text,translations.bn.query,translations.bn.hover_text,translations.bn.share_text,translations.eu.query,translations.eu.hover_text,translations.eu.share_text,translations.be.query,translations.be.hover_text,translations.be.share_text,translations.bs.query,translations.bs.hover_text,translations.bs.share_text,translations.en-GB.query,translations.en-GB.hover_text,translations.en-GB.share_text,translations.bg.query,translations.bg.hover_text,translations.bg.share_text,translations.my.query,translations.my.hover_text,translations.my.share_text,translations.ca.query,translations.ca.hover_text,translations.ca.share_text,translations.zh-HK.query,translations.zh-HK.hover_text,translations.zh-HK.share_text,translations.zh-TW.query,translations.zh-TW.hover_text,translations.zh-TW.share_text,translations.zh-CN.query,translations.zh-CN.hover_text,translations.zh-CN.share_text,translations.hr.query,translations.hr.hover_text,translations.hr.share_text,translations.cs.query,translations.cs.hover_text,translations.cs.share_text,translations.da.query,translations.da.hover_text,translations.da.share_text,translations.nl.query,translations.nl.hover_text,translations.nl.share_text,translations.et.query,translations.et.hover_text,translations.et.share_text,translations.fi.query,translations.fi.hover_text,translations.fi.share_text,translations.fr.query,translations.fr.hover_text,translations.fr.share_text,translations.fr-CA.query,translations.fr-CA.hover_text,translations.fr-CA.share_text,translations.gl.query,translations.gl.hover_text,translations.gl.share_text,translations.ka.query,translations.ka.hover_text,translations.ka.share_text,translations.de.query,translations.de.hover_text,translations.de.share_text,translations.el.query,translations.el.hover_text,translations.el.share_text,translations.gu.query,translations.gu.hover_text,translations.gu.share_text,translations.ht.query,translations.ht.hover_text,translations.ht.share_text,translations.iw.query,translations.iw.hover_text,translations.iw.share_text,translations.hi.query,translations.hi.hover_text,translations.hi.share_text,translations.hu.query,translations.hu.hover_text,translations.hu.share_text,translations.is.query,translations.is.hover_text,translations.is.share_text,translations.id.query,translations.id.hover_text,translations.id.share_text,translations.ga.query,translations.ga.hover_text,translations.ga.share_text,translations.it.query,translations.it.hover_text,translations.it.share_text,translations.ja.query,translations.ja.hover_text,translations.ja.share_text,translations.kn.query,translations.kn.hover_text,translations.kn.share_text,translations.kk.query,translations.kk.hover_text,translations.kk.share_text,translations.km.query,translations.km.hover_text,translations.km.share_text,translations.ko.query,translations.ko.hover_text,translations.ko.share_text,translations.ky.query,translations.ky.hover_text,translations.ky.share_text,translations.lo.query,translations.lo.hover_text,translations.lo.share_text,translations.es-419.query,translations.es-419.hover_text,translations.es-419.share_text,translations.lv.query,translations.lv.hover_text,translations.lv.share_text,translations.lt.query,translations.lt.hover_text,translations.lt.share_text,translations.mk.query,translations.mk.hover_text,translations.mk.share_text,translations.mg.query,translations.mg.hover_text,translations.mg.share_text,translations.ms.query,translations.ms.hover_text,translations.ms.share_text,translations.ml.query,translations.ml.hover_text,translations.ml.share_text,translations.mt.query,translations.mt.hover_text,translations.mt.share_text,translations.mr.query,translations.mr.hover_text,translations.mr.share_text,translations.mn.query,translations.mn.hover_text,translations.mn.share_text,translations.ne.query,translations.ne.hover_text,translations.ne.share_text,translations.no.query,translations.no.hover_text,translations.no.share_text,translations.nn.query,translations.nn.hover_text,translations.nn.share_text,translations.ny.query,translations.ny.hover_text,translations.ny.share_text,translations.or.query,translations.or.hover_text,translations.or.share_text,translations.ps.query,translations.ps.hover_text,translations.ps.share_text,translations.fa.query,translations.fa.hover_text,translations.fa.share_text,translations.pl.query,translations.pl.hover_text,translations.pl.share_text,translations.pt-BR.query,translations.pt-BR.hover_text,translations.pt-BR.share_text,translations.pt-PT.query,translations.pt-PT.hover_text,translations.pt-PT.share_text,translations.pa.query,translations.pa.hover_text,translations.pa.share_text,translations.ro.query,translations.ro.hover_text,translations.ro.share_text,translations.ro-MD.query,translations.ro-MD.hover_text,translations.ro-MD.share_text,translations.ru.query,translations.ru.hover_text,translations.ru.share_text,translations.sr.query,translations.sr.hover_text,translations.sr.share_text,translations.sr-Latn.query,translations.sr-Latn.hover_text,translations.sr-Latn.share_text,translations.sr-ME.query,translations.sr-ME.hover_text,translations.sr-ME.share_text,translations.crs.query,translations.crs.hover_text,translations.crs.share_text,translations.sn.query,translations.sn.hover_text,translations.sn.share_text,translations.si.query,translations.si.hover_text,translations.si.share_text,translations.sk.query,translations.sk.hover_text,translations.sk.share_text,translations.sl.query,translations.sl.hover_text,translations.sl.share_text,translations.so.query,translations.so.hover_text,translations.so.share_text,translations.st.query,translations.st.hover_text,translations.st.share_text,translations.es.query,translations.es.hover_text,translations.es.share_text,translations.sw.query,translations.sw.hover_text,translations.sw.share_text,translations.sv.query,translations.sv.hover_text,translations.sv.share_text,translations.tg.query,translations.tg.hover_text,translations.tg.share_text,translations.ta.query,translations.ta.hover_text,translations.ta.share_text,translations.te.query,translations.te.hover_text,translations.te.share_text,translations.th.query,translations.th.hover_text,translations.th.share_text,translations.tn.query,translations.tn.hover_text,translations.tn.share_text,translations.tr.query,translations.tr.hover_text,translations.tr.share_text,translations.tk.query,translations.tk.hover_text,translations.tk.share_text,translations.uk.query,translations.uk.hover_text,translations.uk.share_text,translations.ur.query,translations.ur.hover_text,translations.ur.share_text,translations.uz.query,translations.uz.hover_text,translations.uz.share_text,translations.vi.query,translations.vi.hover_text,translations.vi.share_text,translations.wo.query,translations.wo.hover_text,translations.wo.share_text,translations.zu.query,translations.zu.hover_text,translations.zu.share_text,translated_blog_posts.pt-BR.language,translated_blog_posts.pt-BR.blog_post
celebrating-bubble-tea,Celebrating Bubble Tea,//www.google.com/logos/doodles/2023/celebrating-bubble-tea-6753651837109839.4-l.png,https://lh3.googleusercontent.com/tg_mmW3pK4x6jm2CG7MWWBRFRqFY2pM8bl5iuViR2_Tapgx7oY1Oofsd3CWQX4qjeRKja9LB_2K22mp1zkRoxXeI-LDBfimsF70vxiAtphXeSAvCoWyUjaQ,//www.google.com/logos/doodles/2023/celebrating-bubble-tea-6753651837109839.2-2xa.gif,1000,400,"[2023, 1, 29]",珍珠奶茶,頌! 珍珠奶茶 #GoogleDoodle,Bubble Tea,Celebrating Bubble Tea,Celebrating Bubble Tea! #GoogleDoodle,Borreltee,Ter viering van borreltee,Ter viering van borreltee! #GoogleDoodle,Çaji me flluska,Festojmë me çajin me flluska,Festojmë me çajin me flluska! #GoogleDoodle,የዓረፋ ሻይ,የዓረፋ ሻይን በማክበር ላይ,የዓረፋ ሻይን በማክበር ላይ! #GoogleDoodle,شاي الفقاعات,الاحتفال بشاي الفقاعات,نحتفل اليوم بشاي الفقاعات. ‎#GoogleDoodle,Պղպջակներով թեյ,Տոնե՛նք պղպջակներով թեյի օրը,Տոնե՛նք պղպջակներով թեյի օրը #GoogleDoodle,Köpüklü Çay,Köpüklü Çay Günü,Köpüklü Çay Günü! #GoogleDoodle,বাবল চা,বাবল চায়ের ঐতিহ্য উদযাপন করা হচ্ছে,বাবল চায়ের ঐতিহ্য উদযাপন করা হচ্ছে! #GoogleDoodle,Te burbuiladuna,Te burbuiladunaren omenez,Te burbuiladunaren omenez #GoogleDoodle,Чай з шарыкамі,Дзень чаю з шарыкамі,Дзень чаю з шарыкамі! #GoogleDoodle,Boba čaj,Slavimo boba čaj,Slavimo boba čaj! #GoogleDoodle,Bubble Tea,Celebrating Bubble Tea,Celebrating Bubble Tea #GoogleDoodle,Перлен млечен чай,Честване на перления млечен чай,Честване на перления млечен чай! #GoogleDoodle,ပုလဲလက်ဖက်ရည်,ပုလဲလက်ဖက်ရည်ကို ဂုဏ်ပြုခြင်း,ပုလဲလက်ဖက်ရည်ကို ဂုဏ်ပြုခြင်း။ #GoogleDoodle,Te amb perles,Homenatge al te amb perles,Homenatge al te amb perles #GoogleDoodle,珍珠奶茶,讚頌珍珠奶茶!,讚頌珍珠奶茶! #GoogleDoodle,珍珠奶茶,頌! 珍珠奶茶,頌! 珍珠奶茶 #GoogleDoodle,奶茶,纪念奶茶,纪念奶茶！#GoogleDoodle,Boba čaj,U čast boba čaju,U čast boba čaju! #GoogleDoodle,Bublinkový čaj,Oslavujeme bublinkový čaj,Oslavujeme bublinkový čaj! #GoogleDoodle,Bubble tea,Vi hylder bubble tea!,Vi hylder bubble tea! #GoogleDoodle,Bubbelthee,Doodle ter ere van bubbelthee,Doodle ter ere van bubbelthee! #GoogleDoodle,Mullitee,Hoiame au sees mulliteed,Hoiame au sees mulliteed! #GoogleDoodle,Kuplatee,Kuplatee,Kuplatee #GoogleDoodle,Qu'est-ce que le Bubble Tea ?,Le Bubble Tea à l'honneur,Le Bubble Tea est à l'honneur ! #GoogleDoodle,Thé aux perles,Célébrons le thé aux perles,Célébrons le thé aux perles! #GoogleDoodle,Té de burbullas,Homenaxe ao té de burbullas,Homenaxe ao té de burbullas! #GoogleDoodle,boba ჩაის მაღაზია,ავღნიშნავთ boba ჩაის დღეს,აღვნიშნავთ boba ჩაის დღეს! #GoogleDoodl,Bubble Tea,Zur Feier des Bubble Teas,Zur Feier des Bubble Teas! #GoogleDoodle,Bubble Tea,Γιορτάζουμε το Bubble Tea,Γιορτάζουμε το Bubble Tea! #GoogleDoodle,બબલ ટી,બબલ ટીની ઉજવણી,બબલ ટીની ઉજવણી! #GoogleDoodle,,,,תה בועות,תה בועות (באבל טי),לציון תה בועות (באבל טי)! ‎#GoogleDoodle,बबल टी,बबल टी का जश्न,बबल टी का जश्न! #GoogleDoodle,Buboréktea,A buboréktea ünneplése,A buboréktea ünneplése! #GoogleDoodle,Perlute,Við fögnum perlutei,Við fögnum perlutei! #GoogleDoodle,Bubble Tea,Merayakan Bubble Tea,Merayakan Bubble Tea! #GoogleDoodle,Tae mboilgeog,Tae Bubble á cheiliúradh ,Tae Bubble á cheiliúradh #GoogleDoodle,Bubble tea,In onore del bubble tea,In onore del bubble tea! #GoogleDoodle,タピオカ,タピオカドリンクを称えて,タピオカドリンクを称えて #GoogleDoodle,ಬಬಲ್ ಟೀ,'ಬಬಲ್ ಟೀ' ದಿನವನ್ನು ಆಚರಿಸಲಾಗುತ್ತಿದೆ,'ಬಬಲ್ ಟೀ' ದಿನವನ್ನು ಆಚರಿಸಲಾಗುತ್ತಿದೆ! #GoogleDoodle,Бабл ти,Бабл ти күні,Бабл ти күні #GoogleDoodle,តែ​គុជ,អបអរទិវាតែ​គុជ,អបអរទិវាតែ​គុជ! #GoogleDoodle,버블티,버블티 기념,버블티 기념! #GoogleDoodle,Көбүк чай,Көбүк чай күнүн майрамдоо,Көбүк чай күнүн майрамдоо! #GoogleDoodle,ຊາໄຂ່ມຸກ,ສະເຫຼີມສະຫຼອງຊາໄຂ່ມຸກ,ສະເຫຼີມສະຫຼອງຊາໄຂ່ມຸກ! #GoogleDoodle,Té de burbujas,Homenaje al té de burbujas,Homenaje al té de burbujas #GoogleDoodle,Burbuļtēja,Burbuļtējas godināšana,Burbuļtējas godināšana! #GoogleDoodle,Burbulinė arbata,Burbulinės arbatos minėjimas,Burbulinės arbatos minėjimas! #GoogleDoodle,Продавница за чај,Во чест на чајот со меурчиња,Во чест на чајот со меурчиња! #GoogleDoodle,,,,Teh Buih,Meraikan Teh Buih,Meraikan Teh Buih! #GoogleDoodle,ബബിൾ ടീ,ബബിൾ ടീ ആഘോഷിക്കുന്നു,ബബിൾ ടീ ആഘോഷിക്കുന്നു! #GoogleDoodle,,,,बबल टी,बबल टीचा उत्सव साजरा करत आहे,बबल टीचा उत्सव साजरा करत आहे! #GoogleDoodle,Бөмбөлөгтэй цай,Бөмбөлөгтэй цайны өдрийг тэмдэглэж байна,Бөмбөлөгтэй цайны өдрийг тэмдэглэж байна! #GoogleDoodle,बबल चिया,बबल चियाको सम्झना,बबल चियाको सम्झना! #GoogleDoodle,Boblete,Vi feirer boblete,Vi feirer boblete! #GoogleDoodle,,,,,,,ବବଲ ଚା',ବବଲ ଚା'ର ଉତ୍ସବ ପାଳନ କରାଯାଉଛି,ବବଲ ଚା'ର ଉତ୍ସବ ପାଳନ କରାଯାଉଛି! #GoogleDoodle,,,,چای بوبا,بزرگداشت چای بوبا,بزرگداشت چای بوبا! ‎#GoogleDoodle,bubble tea,Zrób bubble tea,Zrób bubble tea #GoogleDoodle,Chá de Bolhas,Celebrando Chá de Bolhas,Celebrando Chá de Bolhas! #GoogleDoodle,Chá de bolhas,Celebração do chá de bolhas,Celebração do chá de bolhas! #GoogleDoodle,ਬੁਲਬਲਿਆਂ ਵਾਲੀ ਚਾਹ,ਬੁਲਬਲਿਆਂ ਵਾਲੀ ਚਾਹ ਦੀ ਸਿਫ਼ਤ ਵਿੱਚ,ਬੁਲਬਲਿਆਂ ਵਾਲੀ ਚਾਹ ਦੀ ਸਿਫ਼ਤ ਵਿੱਚ! #GoogleDoodle,Bubble Tea,În cinstea Bubble Tea,În cinstea Bubble Tea! #GoogleDoodle,,,,Чай с шариками,День чая с шариками,День чая с шариками #GoogleDoodle,Боба чај,Славимо боба чај,Славимо боба чај! #GoogleDoodle,Boba čaj,Slavimo boba čaj,Slavimo boba čaj! #GoogleDoodle,,,,,,,,,,බුබුළු තේ,බුබුළු තේ සමරමින්,බුබුළු තේ සමරමින්! #GoogleDoodle,Bublinkový čaj,Oslavujeme bublinkový čaj,Oslavujeme bublinkový čaj. #GoogleDoodle,Bubble Tea,Slavimo napitke Bubble Tea,Slavimo napitke Bubble Tea! #GoogleDoodle,,,,,,,Té de burbujas,Homenaje al té de burbujas,Homenaje al té de burbujas #GoogleDoodle,Bubble Tea,Tunaenzi Bubble Tea,Tunaenzi Bubble Tea! #GoogleDoodle,Bubbelte,En hyllning till bubbelte,En hyllning till bubbelte #GoogleDoodle,,,,பபிள் டீ,பபிள் டீயைக் கொண்டாடுவோம்,பபிள் டீயைக் கொண்டாடுவோம்! #GoogleDoodle,బబుల్ టీ,బబుల్ టీ వేడుకలు,బబుల్ టీ వేడుకలు! #GoogleDoodle,ชาไข่มุก,วันเฉลิมฉลองชาไข่มุก,วันเฉลิมฉลองชาไข่มุก #GoogleDoodle,,,,İnci Çayı,İnci Çayı Kutlaması,İnci Çayı Kutlaması #GoogleDoodle,,,,Бульбашковий чай,День бульбашкового чаю,День бульбашкового чаю! #GoogleDoodle,ببلے والی چائے,بلبلے والی چائے کا جشن,بلبلے والی چائے کا جشن! GoogleDoodle#,Marjonli choy,Marjonli choy kuni,Marjonli choy kuni! #GoogleDoodle,Trà sữa trân châu,Trà sữa trân châu,Trà sữa trân châu! #GoogleDoodle,,,,Itiye Lebhamuza,Sibungaza Itiye Lebhamuza,Sibungaza Itiye Lebhamuza! #GoogleDoodle,,
luz-jimenezs-126th-birthday,Luz Jiménez's 126th Birthday,//www.google.com/logos/doodles/2023/luz-jimenezs-126th-birthday-6753651837110110-l.png,https://lh3.googleusercontent.com/Dejqgd08En7GaGfmiEni9UD8vhd4swU_BTg3sA9re7l7PdChRG4H08pXBRtnDTN1EBmXOvZMYvrTvEXBgZdhEE4wckOvjySA7BCKNLSKssHxwzo-ymt7,//www.google.com/logos/doodles/2023/luz-jimenezs-126th-birthday-6753651837110110-2x.png,1000,400,"[2023, 1, 28]",Luz Jiménez's 126th Birthday,Luz Jiménez's 126th Birthday #GoogleDoodle,,,#GoogleDoodle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Luz Jiménez,126º aniversario del nacimiento de Luz Jiménez,126º aniversario del nacimiento de Luz Jiménez. #GoogleDoodle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
